momento1;momento2;momento3;momento4;momento5;momento6;momento7;circularidad;convexidad;esbeltez;nombre
2.14;4.32;9.28;8.97;18.21;11.18;18.3;0.14578978327342598;0.6025286867828304;4.4;tornillo
2.19;4.41;8.36;8.62;17.11;10.82;19.38;0.16669483114740632;0.5903197925669835;4.504108425818598;tornillo
2.26;4.55;8.02;8.15;16.23;10.42;18.18;0.16599303019008713;0.5823686553873553;4.631484075994841;tornillo
2.25;4.52;8.8;9.2;18.21;11.47;-19.05;0.16807534293350876;0.6224489795918368;4.713665158746686;tornillo
2.24;4.5;7.89;7.97;15.9;10.23;-18.14;0.15966989314652452;0.6141818181818182;4.868244323236386;tornillo
1.73;3.49;6.99;7.45;14.68;9.2;-16.44;0.17449022936907294;0.5838457238680828;4.633913996764955;tornillo
2.15;4.34;8.55;8.99;17.76;11.16;18.89;0.2877868818752633;0.7358976050669658;4.200000488290133;tornillo
2.12;4.28;7.7;7.87;15.65;10.01;17.24;0.28588785363623703;0.7078568490333196;3.782608695652174;tornillo
2.15;4.34;7.53;7.66;15.25;9.83;17.3;0.27344626408918515;0.7250573621330801;3.840000077204049;tornillo
2.17;4.37;8.13;8.38;16.63;10.57;-18.6;0.2537791644632163;0.7177290142807384;3.872611490416764;tornillo
1.8;3.64;6.65;6.87;13.62;8.68;-15.41;0.17734780930218222;0.5897219882055602;4.4658807014489685;tornillo
1.82;3.68;7.7;8.46;16.54;10.3;-17.38;0.17921323958121932;0.5909793018226753;4.669758688925496;tornillo
1.83;3.69;7.44;7.88;15.54;9.73;-16.59;0.1949120941971529;0.6051592524348512;4.483546536819626;tornillo
1.89;3.81;7.49;7.96;15.68;9.86;-16.84;0.1813241438582201;0.5916045508042369;4.522155607157323;tornillo
1.86;3.75;7.53;8.13;15.97;10.01;-17.04;0.1802657373570611;0.5825407608695652;4.363372281529062;tornillo
2.51;5.1;9.51;8.91;18.12;11.46;18.89;0.22581592786484714;0.6811498211683666;3.0430108976643147;tornillo
2.58;5.26;11.13;9.49;20.37;12.12;-19.82;0.24247139576313664;0.6889895138226882;3.0322577501471386;tornillo
2.63;8.5;10.65;10.14;20.73;14.44;20.65;0.8569655323726622;0.9811815150071462;1.1020408163265305;tuerca
2.78;8.06;10.65;10.31;20.99;14.58;20.91;0.8663366255628098;0.9826495203102674;1.018181818181818;tuerca
2.82;8.79;12.3;11.56;23.69;-16.27;23.6;0.8596795957062389;0.9751707014276847;1.1063219800259916;tuerca
2.8;9.12;10.75;10.97;22.55;15.55;21.84;0.8512598965457285;0.9751199040767387;1.1129032566819774;tuerca
2.67;8.08;11.21;11.24;22.5;-15.44;-22.86;0.8395826091354331;0.9752791068580542;1.0727272727272728;tuerca
2.63;9.6;10.21;10.03;20.26;14.84;-20.37;0.8604231621447029;0.9841389728096677;1.127659574468085;tuerca
2.54;6.88;10.44;9.63;20.26;-13.34;19.68;0.8563550307600329;0.9828383823309954;1.0;tuerca
2.69;8.4;10.63;9.1;19.32;13.31;-19.02;0.8635199796728195;0.9819354838709677;1.0461538461538462;tuerca
2.61;7.16;10.3;9.27;-19.79;12.95;-19.07;0.8584462008416197;0.9805855161787366;1.055776902925892;tuerca
2.94;8.36;11.7;11.51;-23.11;15.83;23.97;0.8398466556209689;0.9739703459637562;1.0878136558456986;tuerca
2.58;7.73;10.3;9.59;-20.45;-14.28;-19.54;0.8542615792226961;0.9821475800052896;1.120253166029003;tuerca
2.66;8.07;10.61;9.91;20.18;13.95;20.86;0.8498078186431612;0.9834132967786154;1.1076923076923078;tuerca
2.77;8.7;10.5;10.53;-22.35;15.16;21.05;0.860194516733259;0.9789590254706534;1.1055900258121074;tuerca
2.78;7.47;10.46;11.02;21.88;15.3;21.94;0.8695359956480093;0.980900109769484;1.0377358490566038;tuerca
