momento1;momento2;momento3;momento4;momento5;momento6;momento7;circularidad;convexidad;esbeltez;nombre
1.61;3.23;8.13;8.4;16.68;10.09;17.39;0.003430105477027273;0.08674404398289554;12.753128200063175;imagen
1.68;5.39;7.98;10.01;20.15;-12.87;19.01;0.0026124872582312685;0.011124573190880054;1.1126760563380282;imagen
2.11;5.81;9.03;7.73;16.12;10.93;-16.85;0.844131511848825;0.9848966613672496;1.0;imagen
2.28;4.6;8.45;8.38;16.79;10.68;-18.42;0.2586195857369905;0.7942017149857085;5.655274494723426;imagen
1.69;4.12;6.16;7.16;-14.03;-9.85;-13.91;0.00811136957830736;0.082389289392379;5.50476180059772;imagen
2.09;4.2;8.68;8.42;16.96;10.52;-18.22;0.2192127088111709;0.7234808384501377;5.796670991285713;imagen
